run_key,series,campaign,suite,run_leaf,experiment_slug,predictor_name,dataset_name,tier_size,n_samples,model_kind,model_id,thinking_level,batch_size,phase,accuracy,f1_macro,duration_seconds,infer_time_s,has_predictions,predictions_source,saved_utc,run_dir,format
mvp4_results/glue_sst2/gemma-3-4b-it/train30,mvp4_results,,glue_sst2,gemma-3-4b-it_train30,mvp4,gemma-3-4b-it,glue_sst2,30.0,30.0,LLM,gemma-3-4b-it,,,final,1.0,1.0,34.1,34.1,True,legacy_csv,,mvp4_results/glue_sst2,mvp4_final_results
mvp4_results/glue_sst2/gemini-3.1-flash-lite-preview/train30,mvp4_results,,glue_sst2,gemini-3.1-flash-lite-preview_train30,mvp4,gemini-3.1-flash-lite-preview,glue_sst2,30.0,30.0,LLM,gemini-3.1-flash-lite-preview,,,final,1.0,1.0,85.85,85.85,True,legacy_csv,,mvp4_results/glue_sst2,mvp4_final_results
extended_evaluation_llm/20260503_074205/gemini_b25_unshuffled_banking-10_test200,extended_evaluation_llm,20260503_074205,gemini_b25_unshuffled_banking-10_test200,gemini_b25_unshuffled_banking-10_test200,gemini_b25_tweet_eval_irony_test200,google_openai_batch:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,,google_openai_chat,gemini-3.1-flash-lite-preview,,25.0,full,0.99,0.9899937460913071,,,True,csv,2026-05-03T07:42:05.645474+00:00,extended_evaluation_llm/20260503_074205/gemini_b25_unshuffled_banking-10_test200,harness_report
baseline_performance/20260428_075211/gemini_banking10_test200,baseline_performance,20260428_075211,gemini_banking10_test200,gemini_banking10_test200,gemini_banking10_test200,google_openai_batch:gemini-3.1-flash-lite-preview,banking-10,200.0,,google_openai_chat,gemini-3.1-flash-lite-preview,,5.0,full,0.965,0.9653707480706913,,158.67316780000692,True,csv,2026-04-28T07:54:52.799407+00:00,baseline_performance/20260428_075211/gemini_banking10_test200,harness_report
prompt_eng/20260519_092956/multilabel_confusion_probe/multilabel_gemma4_31b_think_high_banking10_test200,prompt_eng,20260519_092956,multilabel_confusion_probe,multilabel_gemma4_31b_think_high_banking10_test200,multilabel_confusion_probe,multilabel_confusion_probe:gemma-4-31b-it,banking-10,200.0,200.0,multilabel_confusion_probe,gemma-4-31b-it,high,3.0,full,0.9555555555555556,0.9549204127675803,723.8401867998764,722.8377694999799,True,csv,2026-05-19T09:42:00.604654+00:00,prompt_eng/20260519_092956/multilabel_confusion_probe/multilabel_gemma4_31b_think_high_banking10_test200,harness_report
extended_evaluation_llm/20260501_104433/gemini_banking-10_test200,extended_evaluation_llm,20260501_104433,gemini_banking-10_test200,gemini_banking-10_test200,gemini_banking-10_test200,google_openai_batch:gemini-3.1-flash-lite-preview,tweet_eval_irony,200.0,,google_openai_chat,gemini-3.1-flash-lite-preview,,5.0,full,0.95,0.9484641645617256,,,True,csv,2026-05-01T10:44:33.412576+00:00,extended_evaluation_llm/20260501_104433/gemini_banking-10_test200,harness_report
extended_evaluation_llm/20260430_221556/gemma_26b_banking-10_test200,extended_evaluation_llm,20260430_221556,gemma_26b_banking-10_test200,gemma_26b_banking-10_test200,gemma_banking-10_test200,google_openai_batch:gemma-4-26b-a4b-it,banking-10,200.0,,google_openai_chat,gemma-4-26b-a4b-it,,10.0,full,0.945,0.9442151344590369,,,True,csv,2026-04-30T22:15:56.681283+00:00,extended_evaluation_llm/20260430_221556/gemma_26b_banking-10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_banking-10_bs3_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemma3_27b_banking-10_bs3_trainseed10_test200,google_genai_gemma3_27b_banking-10_bs3_trainseed10_test200,google_genai_gemma3_27b_banking-10_bs3_trainseed10_test200,google_genai_batch:gemma-3-27b-it,banking-10,200.0,,google_genai_chat,gemma-3-27b-it,off,3.0,full,0.94,0.9398626430705421,,192.2138840999687,True,csv,2026-05-03T09:34:31.832990+00:00,evaluate_google_llm/20260503_091005/google_genai_gemma3_27b_banking-10_bs3_trainseed10_test200,harness_report
evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_banking-10_bs3_trainseed10_test200,evaluate_google_llm,20260503_091005,google_genai_gemini31_flash_think_low_banking-10_bs3_trainseed10_test200,google_genai_gemini31_flash_think_low_banking-10_bs3_trainseed10_test200,google_genai_gemini31_flash_think_low_banking-10_bs3_trainseed10_test200,google_genai_batch:gemini-3.1-flash-lite-preview,banking-10,200.0,,google_genai_chat,gemini-3.1-flash-lite-preview,low,3.0,full,0.94,0.9397968948652592,,274.1391937000444,True,csv,2026-05-03T09:42:36.881335+00:00,evaluate_google_llm/20260503_091005/google_genai_gemini31_flash_think_low_banking-10_bs3_trainseed10_test200,harness_report
extended_evaluation_ml/20260430_105611/emb_umap_head_xgb_banking-10_traintier5000_test200,extended_evaluation_ml,20260430_105611,emb_umap_head_xgb_banking-10_traintier5000_test200,emb_umap_head_xgb_banking-10_traintier5000_test200,emb_umap_head_xgb_banking-10_traintier5000_test200,emb_umap_head,banking-10,200.0,,emb_umap_head,,,,full,0.935,0.9349284327140553,,2.287210199981928,True,csv,2026-04-30T10:58:34.467116+00:00,extended_evaluation_ml/20260430_105611/emb_umap_head_xgb_banking-10_traintier5000_test200,harness_report
