dataset,model,batch_no,model_id,stage,attempt,error
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,1,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68e9-081b73f857de3f7d0b99325c;4e44aff8-cc83-41ff-80d5-962987be7661)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,2,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68ea-5a6aa745592a885d3a755eaf;4e05d4e5-c549-49d9-bb1b-63d402c971bd)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,3,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68eb-4153ef802f7c032e698bb3bf;518b9946-d8ca-43f0-84df-a40ad78f68ab)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,4,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68ec-3a484df45ad68f8575e55384;1274ee7c-10ea-4d6d-8eb4-2667eb765cc8)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,5,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68ed-250b58590f8fb6e82f649781;5913c730-a0cf-4653-9f63-7a292454f8e4)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,6,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68ef-3e67b4cc19a6123f61b66bfe;84532a04-c065-4d87-9372-a99930ab1867)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,7,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68f0-385b13736e5665997d86668e;37019302-e238-472d-b0f7-00d5d5f73a89)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,8,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68f1-31aa99477d69e85d345585c7;8c3ae036-ac85-45f1-b670-227aecf9a1bc)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,9,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68f2-3b939dfb3235f55230e9ab9f;29e3460d-4a0a-416d-b733-9afcf2f84d7c)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,without_logprobs,1,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ec68f2-073d04025690f383269083a7;a9b95760-da3c-4262-ad53-1e75caf6a6ce)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
