dataset,model,batch_no,model_id,stage,error
tweet_sentiment,llama_8b,1,meta-llama/Llama-3.2-8B-Instruct,with_logprobs,"404 Client Error. (Request ID: Root=1-69ebe491-40abb6ef5702d5af0f6cbea3;d376e42b-7563-4b77-a8d3-a45221f5aa2c)

Repository Not Found for url: https://huggingface.co/api/models/meta-llama/Llama-3.2-8B-Instruct?expand=inferenceProviderMapping.
Please make sure you specified the correct `repo_id` and `repo_type`.
If you are trying to access a private or gated repo, make sure you are authenticated. For more details, see https://huggingface.co/docs/huggingface_hub/authentication"
tweet_sentiment,llama_8b,1,meta-llama/Llama-3.2-8B-Instruct,without_logprobs,"404 Client Error. (Request ID: Root=1-69ebe491-78635dc75f1c7dd01351c8fc;23bdefcc-9acf-45c5-849c-06f476acc97b)

Repository Not Found for url: https://huggingface.co/api/models/meta-llama/Llama-3.2-8B-Instruct?expand=inferenceProviderMapping.
Please make sure you specified the correct `repo_id` and `repo_type`.
If you are trying to access a private or gated repo, make sure you are authenticated. For more details, see https://huggingface.co/docs/huggingface_hub/authentication"
tweet_sentiment,gpt_oss_20b,1,openai/gpt-oss-20b,with_logprobs,"(Request ID: req_01kq0qb87afe0vsj5dfm60ksrk)

Bad request:
{'message': '`logprobs` is not supported with this model', 'type': 'invalid_request_error', 'param': 'logprobs'}"
tweet_sentiment,gpt_oss_20b,2,openai/gpt-oss-20b,with_logprobs,"(Request ID: req_01kq0qb90yfe19qfejtz2xwbj0)

Bad request:
{'message': '`logprobs` is not supported with this model', 'type': 'invalid_request_error', 'param': 'logprobs'}"
tweet_sentiment,gpt_oss_20b,3,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c6-7af38bcf7498b9d124ec3971;b22debed-725b-48e0-ac85-549c064e5c84)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,3,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c6-7d9ec7ef41c6ddcc5b54625a;dabcd778-b91a-48bb-a734-9aa0c73c6c6c)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,4,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c6-526ef19722b970a8115623cf;c42c25d8-9f71-4aa9-96b4-68f3d8baef61)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,4,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c6-7583bbc24b145edd0e3b3dcf;67b42b4c-f5a5-459c-829e-79141be55bcb)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,5,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c7-59014c134dfa6aae0e9de86a;255b2da9-215f-43a4-8d2b-1ac0d2cb58b1)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,5,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c7-784bd5de4349b77b6d899cf6;2d7f66be-95ba-449f-a087-8d847b68b9a0)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,6,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c7-5141ca582ab6822024462b0e;5e6c4acd-f0ac-4fa7-93a3-d9c6e08702b4)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,6,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c7-05471717752373885f5b1daf;411b61e9-4459-4fbb-ad8b-a7b44bf03a1c)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,7,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c7-68ff66f61306c2347046dd48;20574a77-1ce5-4ce7-ad26-76b2def2541e)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,7,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c7-6485d0ca0737818e6b294c6f;f82402d5-e8c8-4957-b37a-a959485fc03c)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,8,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c7-41b1c6f2772b3e4052da76b9;ad20c2f2-b4bb-4fa2-90d7-79c785b3fbcd)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,8,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c8-37fa4408009bcade0030b7dc;44734130-902b-4297-874f-5f39b8c4688e)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,9,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c8-3116e9e42cebaad0768befdf;35d38547-1320-43f9-be03-b4350ab2a2e5)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,9,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c8-6ae502993c87624612e48865;85aae8dc-0109-49b5-aba0-a55b2f9736fd)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,10,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c8-6ca3b01d49938d231442bdc7;b3f3bc74-cd02-4bcd-9ffb-1cd9ff254671)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,10,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c8-741bde1f74d3d0720772a529;ab898a68-cb3c-494a-ba36-4802b4a3b8b1)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,11,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c8-347aa0b84994f3606351a158;59ca690e-7bcd-4bda-9c9e-3696b0426073)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,11,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c8-6f7dcf042d13caf12a9ef1be;fbc072d5-80f7-4101-99e2-9407fb8f8689)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,12,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c9-623ab52412e3e36846831ba0;739197ef-d3c5-481c-b647-c3343ad05f19)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,12,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c9-1b68a1f3665e7c8302c62e8c;219bea82-bef5-440d-9068-0a424983852f)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,13,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c9-4b20e0d04809af6b60144256;f08ddf0b-a464-4afe-a6c9-98d510156149)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,13,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c9-32f0fbed4c1a14ea3a731c1c;ab71f630-75a3-4e7c-830c-90fe1b10850a)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,14,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c9-7d206c501237847a297575e6;5c8e06cd-9ab4-408b-a60a-c832b6970c80)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,14,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c9-28653c371cf80f0a2f4396d6;a00f0129-6fbc-4e12-a7e7-a33e3efd510b)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,15,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4c9-45607243425a64201bb63789;bb1d5d0f-99ad-4272-af29-53049205655d)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,15,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4ca-14deb9304996ca1c4be8d1bc;c91957a4-6193-4d78-b679-d9c4ba6da75b)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,16,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4ca-2d00c77a04d3142178fb0d11;48787469-a162-48fe-b602-936bb05ce604)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,16,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4ca-6219fcf20ae4642f2ccb00d4;10cdffcc-0486-4c43-8a56-1e3f4ef94fe7)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,17,openai/gpt-oss-20b,with_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4ca-557dd879760b3aa06a53763a;6b139585-82c0-4990-9f01-c26dd90c942c)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
tweet_sentiment,gpt_oss_20b,17,openai/gpt-oss-20b,without_logprobs,"402 Client Error: Payment Required for url: https://router.huggingface.co/groq/openai/v1/chat/completions (Request ID: Root=1-69ebe4ca-3950cdf5028151d656e1546f;764fd650-38a4-41f8-a906-bf92790a5dba)

You have depleted your monthly included credits. Purchase pre-paid credits to continue using Inference Providers. Alternatively, subscribe to PRO to get 20x more included usage."
