flat_i,gold_gepa,pred_gepa,gold_baseline,pred_baseline,sentence_idx,text,gepa_ok,base_ok
2,results,methods,results,methods,2,We performed a secondary analysis using the Single Ventricle Reconstruction Trial database after excluding patients < @ weeks gestation ( N = @ ) .,False,False
10,objective,background,objective,background,10,Recurrence occurs in @ % to @ % of patients .,False,False
19,objective,background,objective,conclusions,19,Understanding an individual 's willingness to pay ( WTP ) for weight loss programs could be helpful when evaluating potential funding models .,False,False
20,objective,background,objective,background,20,The optimal duration of anticoagulation after a first episode of unprovoked pulmonary embolism is uncertain .,False,False
26,background,methods,background,objective,26,The vaccine efficacy ( VE ) of @ or @ doses of AS@-adjuvanted influenza A ( H@N@ ) vaccine relative to that of @ doses of nonadjuvanted influenza A ( H@N@ ) vaccine in children @ months to < @ years of age in a multinational study conducted during @-@ .,False,False
30,results,methods,results,methods,30,Fifteen women per group ( n = @ total ) were randomized ; @ per group underwent surgery .,False,False
32,conclusions,methods,conclusions,methods,32,Relatively homogeneous population of African Americans with hypertensive kidney disease .,False,False
35,background,objective,background,objective,35,"The aim of the present study was to investigate several possible predictors of short - and long-term treatment outcome in terms of symptom improvement , based on data collected in the previously conducted treatment trial .",False,False
40,objective,background,objective,background,40,"There have been several studies of atrial fibrillation ( AF ) over the past decades ; however , data from Chinese patients are scarce .",False,False
44,methods,results,methods,results,44,"Number and percentage of women who responded to the recall within @ weeks after they had received the recall , irrespective whether they had Pap test conducted .",False,False
