model_a,model_b,both_correct,a_only,b_only,both_wrong,disagreements,p_value_exact
google_genai_gemma4_31b_think_high_implicit_hate,svm_implicit_hate_test200,48,98,27,17,125,1.1784452984726365e-10
self_debate_gemini31_flash_think_high_implicit_h,svm_implicit_hate_test200,50,93,25,22,118,2.127355596095493e-10
google_genai_gemini31_flash_think_high_implicit_,svm_implicit_hate_test200,51,93,24,22,117,8.889484446408732e-11
google_genai_gemma4_31b_think_high_implicit_hate,emb_umap_head_logreg_implicit_hate_trainseed100_,57,89,28,16,117,1.3661272708326289e-08
multilabel_gemini31_flash_think_high_implicit_ha,svm_implicit_hate_test200,53,92,22,23,114,2.283186349936991e-11
self_debate_gemini31_flash_think_high_implicit_h,tfidf_xgb_implicit_hate_test200,59,84,28,19,112,1.1106999545541781e-07
google_genai_gemini31_flash_think_high_implicit_,emb_umap_head_logreg_implicit_hate_traintier5000,54,90,21,25,111,2.3144662509616954e-11
google_genai_gemma4_31b_think_high_implicit_hate,emb_umap_head_logreg_implicit_hate_traintier5000,55,91,20,24,111,5.252559123485004e-12
google_genai_gemini31_flash_think_low_implicit_h,svm_implicit_hate_test200,53,89,22,26,111,9.633963090742948e-11
google_genai_gemma4_31b_think_high_implicit_hate,tfidf_xgb_implicit_hate_test200,61,85,26,18,111,1.6986304619987468e-08
multilabel_gemini31_flash_think_high_implicit_ha,emb_umap_head_logreg_implicit_hate_traintier5000,55,90,20,25,110,8.637551655996456e-12
self_debate_gemini31_flash_think_high_implicit_h,emb_umap_head_logreg_implicit_hate_traintier5000,54,89,21,26,110,3.7651773363237467e-11
google_genai_gemini31_flash_think_high_implicit_,tfidf_xgb_implicit_hate_test200,61,83,26,20,109,4.012118368340236e-08
google_genai_gemini31_flash_think_high_implicit_,emb_umap_head_logreg_implicit_hate_trainseed100_,60,84,25,21,109,1.2159603232656297e-08
self_debate_gemini31_flash_think_high_implicit_h,emb_umap_head_logreg_implicit_hate_trainseed100_,60,83,25,22,108,1.8829338019072798e-08
google_genai_gemma4_31b_think_high_implicit_hate,emb_umap_head_xgb_implicit_hate_trainseed100_tes,65,81,27,17,108,1.9074127708662278e-07
multilabel_gemini31_flash_think_high_implicit_ha,emb_umap_head_logreg_implicit_hate_trainseed100_,62,83,23,22,106,3.787227599932374e-09
google_genai_gemma4_31b_think_high_implicit_hate,emb_umap_head_knn_implicit_hate_trainseed100_tes,68,78,28,16,106,1.2512242751511518e-06
google_genai_gemini31_flash_think_low_implicit_h,emb_umap_head_logreg_implicit_hate_traintier5000,56,86,19,29,105,2.3037546341100945e-11
multilabel_gemini31_flash_think_high_implicit_ha,tfidf_xgb_implicit_hate_test200,64,81,23,22,104,9.344702083080035e-09
google_genai_gemini31_flash_think_low_implicit_h,tfidf_xgb_implicit_hate_test200,63,79,24,24,103,4.980762968257179e-08
google_genai_gemini31_flash_think_low_implicit_h,emb_umap_head_logreg_implicit_hate_trainseed100_,63,79,22,26,101,1.012134755360389e-08
google_genai_gemini31_flash_think_high_implicit_,emb_umap_head_knn_implicit_hate_trainseed100_tes,70,74,26,20,100,1.6673626494501009e-06
self_debate_gemini31_flash_think_high_implicit_h,emb_umap_head_knn_implicit_hate_trainseed100_tes,70,73,26,21,99,2.484126139511977e-06
google_genai_gemini31_flash_think_high_implicit_,emb_umap_head_xgb_implicit_hate_trainseed100_tes,69,75,23,23,98,1.3172242120654855e-07
self_debate_gemini31_flash_think_high_implicit_h,emb_umap_head_xgb_implicit_hate_trainseed100_tes,69,74,23,24,97,2.0271090753126984e-07
multilabel_gemini31_flash_think_high_implicit_ha,emb_umap_head_knn_implicit_hate_trainseed100_tes,73,72,23,22,95,4.757482385242055e-07
multilabel_gemini31_flash_think_high_implicit_ha,emb_umap_head_xgb_implicit_hate_trainseed100_tes,71,74,21,24,95,4.24989199238447e-08
google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemma3_4b_implicit_hate_bs5_trainse,79,67,26,18,93,2.5258189217190576e-05
google_genai_gemini31_flash_think_low_implicit_h,emb_umap_head_knn_implicit_hate_trainseed100_tes,73,69,23,25,92,1.670436795024911e-06
gemma_implicit_hate_test200,svm_implicit_hate_test200,44,60,31,55,91,0.00311268984839376
google_genai_gemini31_flash_think_low_implicit_h,emb_umap_head_xgb_implicit_hate_trainseed100_tes,72,70,20,28,90,1.1363565084238009e-07
self_debate_gemini31_flash_think_high_implicit_h,google_genai_gemma3_4b_implicit_hate_bs5_trainse,80,63,25,22,88,6.270382771223793e-05
google_genai_gemma4_31b_think_high_implicit_hate,gemma_implicit_hate_test200,81,65,23,21,88,8.50110761369032e-06
google_genai_gemma3_27b_implicit_hate_bs10_train,emb_umap_head_logreg_implicit_hate_traintier5000,64,76,11,39,87,4.211350509515077e-13
google_genai_gemini31_flash_think_high_implicit_,gemma_implicit_hate_test200,81,63,23,23,86,1.8762796900073088e-05
google_genai_gemma3_27b_implicit_hate_bs3_trains,emb_umap_head_logreg_implicit_hate_traintier5000,61,72,14,43,86,1.4450157667486737e-10
self_debate_gemini31_flash_think_high_implicit_h,emb_umap_head_knn_implicit_hate_traintier5000_te,82,61,25,22,86,0.00013037942991199537
google_genai_gemini31_flash_think_high_implicit_,google_genai_gemma3_4b_implicit_hate_bs5_trainse,82,62,23,23,85,2.7713609491245692e-05
google_genai_gemma4_31b_think_high_implicit_hate,emb_umap_head_knn_implicit_hate_traintier5000_te,84,62,23,21,85,2.7713609491245692e-05
google_genai_gemma3_27b_implicit_hate_bs5_trains,tfidf_xgb_implicit_hate_test200,69,66,18,37,84,1.3328736909323258e-07
google_genai_gemma3_27b_implicit_hate_bs5_trains,emb_umap_head_logreg_implicit_hate_traintier5000,63,72,12,43,84,1.3932285101509037e-11
google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemma3_4b_implicit_hate_bs3_trainse,89,57,27,17,84,0.0014044946311139559
multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma3_4b_implicit_hate_bs5_trainse,83,62,22,23,84,1.4655953475888016e-05
google_genai_gemma3_27b_implicit_hate_bs10_train,tfidf_xgb_implicit_hate_test200,72,68,15,35,83,3.1961254620309685e-09
self_debate_gemini31_flash_think_high_implicit_h,gemma_implicit_hate_test200,82,61,22,25,83,2.1806574627155318e-05
google_genai_gemma4_31b_think_high_implicit_hate,google_genai_gemma3_4b_implicit_hate_bs10_trains,89,57,26,18,83,0.0008775517800028651
gemma_implicit_hate_test200,tfidf_xgb_implicit_hate_test200,54,50,33,53,83,0.07841962481580764
google_genai_gemini31_flash_think_high_implicit_,emb_umap_head_knn_implicit_hate_traintier5000_te,84,60,23,23,83,5.973595638605142e-05
google_genai_gemma4_31b_think_high_implicit_hate,emb_umap_head_xgb_implicit_hate_traintier5000_te,88,58,24,20,82,0.00022196403499337815
gemma_implicit_hate_test200,emb_umap_head_xgb_implicit_hate_trainseed100_tes,57,47,35,51,82,0.22424452830608183
google_genai_gemini31_flash_think_low_implicit_h,emb_umap_head_knn_implicit_hate_traintier5000_te,84,58,23,25,81,0.0001266111519644753
self_debate_gemini31_flash_think_high_implicit_h,google_genai_gemma3_4b_implicit_hate_bs3_trainse,89,54,27,20,81,0.003596347718824061
multilabel_gemini31_flash_think_high_implicit_ha,gemma_implicit_hate_test200,84,61,20,25,81,5.656214894965935e-06
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemma3_4b_implicit_hate_bs5_trainse,83,59,22,26,81,4.769842118193509e-05
emb_umap_head_knn_implicit_hate_traintier5000_te,gemma_implicit_hate_test200,65,42,39,44,81,0.824313215105208
gemma_implicit_hate_test200,emb_umap_head_logreg_implicit_hate_traintier5000,49,55,26,60,81,0.001688638072721023
google_genai_gemma3_4b_implicit_hate_bs3_trainse,emb_umap_head_logreg_implicit_hate_traintier5000,55,61,20,54,81,5.656214894965935e-06
google_genai_gemini31_flash_think_low_implicit_h,gemma_implicit_hate_test200,83,59,21,27,80,2.5291102564670602e-05
multilabel_gemini31_flash_think_high_implicit_ha,emb_umap_head_knn_implicit_hate_traintier5000_te,86,59,21,24,80,2.5291102564670602e-05
self_debate_gemini31_flash_think_high_implicit_h,google_genai_gemma3_4b_implicit_hate_bs10_trains,89,54,26,21,80,0.002324541288088704
google_genai_gemma3_27b_implicit_hate_bs3_trains,tfidf_xgb_implicit_hate_test200,70,63,17,40,80,2.2661405044675463e-07
gemma_implicit_hate_test200,emb_umap_head_knn_implicit_hate_trainseed100_tes,60,44,36,50,80,0.43404225534547874
google_genai_gemini31_flash_think_high_implicit_,emb_umap_head_xgb_implicit_hate_traintier5000_te,88,56,24,22,80,0.0004515172719148108
self_debate_gemini31_flash_think_high_implicit_h,emb_umap_head_xgb_implicit_hate_traintier5000_te,88,55,24,23,79,0.0006393977673643526
google_genai_gemma3_4b_implicit_hate_bs10_trains,emb_umap_head_logreg_implicit_hate_traintier5000,56,59,19,56,78,6.41506390670917e-06
setfit_implicit_hate_trainseed100_test200,gemma_implicit_hate_test200,73,47,31,39,78,0.08878242522208005
google_genai_gemma3_27b_implicit_hate_bs10_train,gemma_implicit_hate_test200,83,57,21,29,78,5.5711164864691095e-05
google_genai_gemini31_flash_think_high_implicit_,google_genai_gemma3_4b_implicit_hate_bs3_trainse,91,53,25,21,78,0.00203114037416273
google_genai_gemini31_flash_think_high_implicit_,google_genai_gemma3_4b_implicit_hate_bs10_trains,91,53,24,22,77,0.0012632268710478355
gemma_implicit_hate_test200,emb_umap_head_logreg_implicit_hate_trainseed100_,56,48,29,57,77,0.03953953287797775
google_genai_gemma3_27b_implicit_hate_bs10_train,svm_implicit_hate_test200,69,71,6,44,77,3.418320890290292e-15
google_genai_gemma3_27b_implicit_hate_bs5_trains,svm_implicit_hate_test200,67,68,8,47,76,5.632907524806409e-13
google_genai_gemma3_4b_implicit_hate_bs3_trainse,gemma_implicit_hate_test200,72,44,32,42,76,0.20673684180839247
google_genai_gemini31_flash_think_low_implicit_h,emb_umap_head_xgb_implicit_hate_traintier5000_te,89,53,23,25,76,0.0007645817391550476
google_genai_gemma4_31b_think_high_implicit_hate,setfit_implicit_hate_trainseed100_test200,95,51,25,19,76,0.0038362357516146263
emb_umap_head_xgb_implicit_hate_traintier5000_te,gemma_implicit_hate_test200,70,42,34,44,76,0.42219110499231566
gemma_implicit_hate_test200,google_genai_gemma3_4b_implicit_hate_bs5_trainse,67,37,38,48,75,1.0
google_genai_gemma3_27b_implicit_hate_bs3_trains,gemma_implicit_hate_test200,81,52,23,34,75,0.0010795155066662817
google_genai_gemma3_27b_implicit_hate_bs5_trains,gemma_implicit_hate_test200,82,53,22,33,75,0.00044964797164381224
multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma3_4b_implicit_hate_bs3_trainse,93,52,23,22,75,0.0010795155066662817
multilabel_gemini31_flash_think_high_implicit_ha,emb_umap_head_xgb_implicit_hate_traintier5000_te,91,54,21,24,75,0.00017630923003028777
google_genai_gemma3_4b_implicit_hate_bs10_trains,gemma_implicit_hate_test200,72,43,32,43,75,0.24804574189252784
multilabel_gemini31_flash_think_high_implicit_ha,google_genai_gemma3_4b_implicit_hate_bs10_trains,93,52,22,23,74,0.0006428073490507027
google_genai_gemini31_flash_think_high_implicit_,setfit_implicit_hate_trainseed100_test200,95,49,25,21,74,0.007084252673880489
google_genai_gemma3_4b_implicit_hate_bs3_trainse,tfidf_xgb_implicit_hate_test200,65,51,22,52,73,0.0009142745821630902
self_debate_gemini31_flash_think_high_implicit_h,setfit_implicit_hate_trainseed100_test200,95,48,25,22,73,0.009542211425865477
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemma3_4b_implicit_hate_bs3_trainse,93,49,23,25,72,0.002942760530124976
google_genai_gemma3_4b_implicit_hate_bs5_trainse,emb_umap_head_logreg_implicit_hate_traintier5000,54,51,21,64,72,0.0005349642016498918
google_genai_gemini31_flash_think_low_implicit_h,google_genai_gemma3_4b_implicit_hate_bs10_trains,93,49,22,26,71,0.0018204049356112858
